HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text,Answer.emotion.label,Approve,Reject
3A520CCNXR4ZCC8KC7V5TF9J8CYEAL,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:41:42 PDT 2020,3,BatchId:3955858;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:41:42 PDT 2020,,,31Q0U3WYDUJLVTE4JIT80OJLRSN17D,A38USNFPASG5WW,Submitted,Sat Mar 14 11:43:55 PDT 2020,Sat Mar 14 11:44:53 PDT 2020,Tue Mar 17 11:44:53 PDT 2020,,,,58,0% (0/0),0% (0/0),0% (0/0),It is MY BIRTHDAY So I decided to go out and have my friend shoot a picture of me Sitting on a Rolls Royce reading NOTHING GENERAL ABOUT IT happybirthday 2me family love,Happy,,
3A520CCNXR4ZCC8KC7V5TF9J8CYEAL,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:41:42 PDT 2020,3,BatchId:3955858;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:41:42 PDT 2020,,,32N49TQG3LMJ07S0XZPHH3SRH40AV2,A3746TDKYH8SJ9,Submitted,Sat Mar 14 11:42:03 PDT 2020,Sat Mar 14 11:42:57 PDT 2020,Tue Mar 17 11:42:57 PDT 2020,,,,54,0% (0/0),0% (0/0),0% (0/0),It is MY BIRTHDAY So I decided to go out and have my friend shoot a picture of me Sitting on a Rolls Royce reading NOTHING GENERAL ABOUT IT happybirthday 2me family love,Happy,,
3A520CCNXR4ZCC8KC7V5TF9J8CYEAL,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:41:42 PDT 2020,3,BatchId:3955858;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:41:42 PDT 2020,,,3UJ1CZ6IZMT629ZF88TVY5SYQM55SM,A3RI9RLBGPG2B6,Submitted,Sat Mar 14 11:42:52 PDT 2020,Sat Mar 14 11:43:14 PDT 2020,Tue Mar 17 11:43:14 PDT 2020,,,,22,0% (0/0),0% (0/0),0% (0/0),It is MY BIRTHDAY So I decided to go out and have my friend shoot a picture of me Sitting on a Rolls Royce reading NOTHING GENERAL ABOUT IT happybirthday 2me family love,Happy,,
3GMLHYZ0MI1HXQ39IDOQ0JDTXRVYUW,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:41:42 PDT 2020,3,BatchId:3955858;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:41:42 PDT 2020,,,388U7OUMFC5V6ND1WDNER0RBNCB0R8,A3746TDKYH8SJ9,Submitted,Sat Mar 14 11:41:57 PDT 2020,Sat Mar 14 11:42:43 PDT 2020,Tue Mar 17 11:42:43 PDT 2020,,,,46,0% (0/0),0% (0/0),0% (0/0),What joy can you bring to others lives What relief can you share Love with all your heart Give with all your care JoyTrain FamilyTrain Goldenhearts,Happy,,
3GMLHYZ0MI1HXQ39IDOQ0JDTXRVYUW,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:41:42 PDT 2020,3,BatchId:3955858;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:41:42 PDT 2020,,,3ON104KXQP0HD7COE8KMQ2P5W35W4M,A39SVLL7C9VA6N,Submitted,Sat Mar 14 11:43:08 PDT 2020,Sat Mar 14 11:43:13 PDT 2020,Tue Mar 17 11:43:13 PDT 2020,,,,5,0% (0/0),0% (0/0),0% (0/0),What joy can you bring to others lives What relief can you share Love with all your heart Give with all your care JoyTrain FamilyTrain Goldenhearts,Pleasant,,
3GMLHYZ0MI1HXQ39IDOQ0JDTXRVYUW,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:41:42 PDT 2020,3,BatchId:3955858;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:41:42 PDT 2020,,,3RXCAC0YIWTMZM9QB66HLBJM41CG8F,A3RI9RLBGPG2B6,Submitted,Sat Mar 14 11:43:10 PDT 2020,Sat Mar 14 11:43:42 PDT 2020,Tue Mar 17 11:43:42 PDT 2020,,,,32,0% (0/0),0% (0/0),0% (0/0),What joy can you bring to others lives What relief can you share Love with all your heart Give with all your care JoyTrain FamilyTrain Goldenhearts,Happy,,
3MJ28H2Y2ICOIX9SBP7KQGNBK03O5T,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:41:42 PDT 2020,3,BatchId:3955858;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:41:42 PDT 2020,,,333U7HK6IEJ87JVI0K204GP37KQDJM,A3RI9RLBGPG2B6,Submitted,Sat Mar 14 11:42:58 PDT 2020,Sat Mar 14 11:43:22 PDT 2020,Tue Mar 17 11:43:22 PDT 2020,,,,24,0% (0/0),0% (0/0),0% (0/0),Good morning my lovely friends Wishing you all a wonderful day with happiness and beautiful moments Family Friends friendship Love BeHappy BeKind CentralStation Antwerp Belgium,Pleasant,,
3MJ28H2Y2ICOIX9SBP7KQGNBK03O5T,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:41:42 PDT 2020,3,BatchId:3955858;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:41:42 PDT 2020,,,3C6FJU71TVXKJA138FTSO38F6OTYUA,A39SVLL7C9VA6N,Submitted,Sat Mar 14 11:42:52 PDT 2020,Sat Mar 14 11:42:55 PDT 2020,Tue Mar 17 11:42:55 PDT 2020,,,,3,0% (0/0),0% (0/0),0% (0/0),Good morning my lovely friends Wishing you all a wonderful day with happiness and beautiful moments Family Friends friendship Love BeHappy BeKind CentralStation Antwerp Belgium,Pleasant,,
3MJ28H2Y2ICOIX9SBP7KQGNBK03O5T,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:41:42 PDT 2020,3,BatchId:3955858;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:41:42 PDT 2020,,,3PPTZCWALVOSW74RNSB6S9KS9XRQZO,A3746TDKYH8SJ9,Submitted,Sat Mar 14 11:42:11 PDT 2020,Sat Mar 14 11:44:28 PDT 2020,Tue Mar 17 11:44:28 PDT 2020,,,,137,0% (0/0),0% (0/0),0% (0/0),Good morning my lovely friends Wishing you all a wonderful day with happiness and beautiful moments Family Friends friendship Love BeHappy BeKind CentralStation Antwerp Belgium,Pleasant,,
3E24UO25R3UK1196G8HPIM1BGVEO69,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:41:42 PDT 2020,3,BatchId:3955858;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:41:42 PDT 2020,,,34MAJL3QP9RKM9A04O9KL5E8YAB34N,A3746TDKYH8SJ9,Submitted,Sat Mar 14 11:42:06 PDT 2020,Sat Mar 14 11:43:45 PDT 2020,Tue Mar 17 11:43:45 PDT 2020,,,,99,0% (0/0),0% (0/0),0% (0/0),The Girl Who Loved Cayo Bradley by Nina Romano Free KindleUnlimited Love Adventure Historical Western Romance NewMexico 1870s,Pleasant,,
