HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text,Answer.emotion.label,Approve,Reject
3HKIF5DF721JR7U6QW7TXNJBFAV9GI,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 09:18:56 PDT 2020,3,BatchId:3955737;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 09:18:56 PDT 2020,,,38F71OA9GY0V6BFZUNAI88K5MQRFMQ,A2FZ88OU42EFC8,Submitted,Sat Mar 14 09:20:22 PDT 2020,Sat Mar 14 09:20:56 PDT 2020,Tue Mar 17 09:20:56 PDT 2020,,,,34,0% (0/0),0% (0/0),0% (0/0),When you achieve a series of smaller goals the boost in confidence can set you up to achieve even bigger goals QuoteOfTheDay,Happy,,
3HKIF5DF721JR7U6QW7TXNJBFAV9GI,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 09:18:56 PDT 2020,3,BatchId:3955737;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 09:18:56 PDT 2020,,,3OB0CAO74MTFEOVJ8GMT5OJPBFIHYG,A3746TDKYH8SJ9,Submitted,Sat Mar 14 09:19:29 PDT 2020,Sat Mar 14 09:22:27 PDT 2020,Tue Mar 17 09:22:27 PDT 2020,,,,178,0% (0/0),0% (0/0),0% (0/0),When you achieve a series of smaller goals the boost in confidence can set you up to achieve even bigger goals QuoteOfTheDay,Pleasant,,
3HKIF5DF721JR7U6QW7TXNJBFAV9GI,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 09:18:56 PDT 2020,3,BatchId:3955737;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 09:18:56 PDT 2020,,,3Z7EFSHGNEIZXBUTHSMQBJF0WHJCXW,A1ELCU95XTLLS,Submitted,Sat Mar 14 09:20:10 PDT 2020,Sat Mar 14 09:20:25 PDT 2020,Tue Mar 17 09:20:25 PDT 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),When you achieve a series of smaller goals the boost in confidence can set you up to achieve even bigger goals QuoteOfTheDay,Surprise,,
368IUKXGB9C2M1L7V8U47M61Q0A6P8,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 09:18:56 PDT 2020,3,BatchId:3955737;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 09:18:56 PDT 2020,,,3DZQRBDBSQJ3OUCBUP52J8UEBP43SH,A1ELCU95XTLLS,Submitted,Sat Mar 14 09:20:29 PDT 2020,Sat Mar 14 09:21:11 PDT 2020,Tue Mar 17 09:21:11 PDT 2020,,,,42,0% (0/0),0% (0/0),0% (0/0),The gorgeous amazing sexy looking outstanding and love working with her and will have so much more to come so show the love and make sure you like follow retweet sexy tits PUSSY hot superhot xx adult mission35k many more to come,Pleasant,,
368IUKXGB9C2M1L7V8U47M61Q0A6P8,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 09:18:56 PDT 2020,3,BatchId:3955737;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 09:18:56 PDT 2020,,,3HMIGG0U4QAMLDUQ5CSNSBQQ8WRY8H,A1257SFH8W5MCV,Submitted,Sat Mar 14 09:20:14 PDT 2020,Sat Mar 14 09:20:20 PDT 2020,Tue Mar 17 09:20:20 PDT 2020,,,,6,0% (0/0),0% (0/0),0% (0/0),The gorgeous amazing sexy looking outstanding and love working with her and will have so much more to come so show the love and make sure you like follow retweet sexy tits PUSSY hot superhot xx adult mission35k many more to come,Excitement,,
368IUKXGB9C2M1L7V8U47M61Q0A6P8,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 09:18:56 PDT 2020,3,BatchId:3955737;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 09:18:56 PDT 2020,,,3T111IHZ5JUD2H1EW967KBS4PFV9RG,A3746TDKYH8SJ9,Submitted,Sat Mar 14 09:19:11 PDT 2020,Sat Mar 14 09:20:18 PDT 2020,Tue Mar 17 09:20:18 PDT 2020,,,,67,0% (0/0),0% (0/0),0% (0/0),The gorgeous amazing sexy looking outstanding and love working with her and will have so much more to come so show the love and make sure you like follow retweet sexy tits PUSSY hot superhot xx adult mission35k many more to come,Happy,,
3DGDV62G8SDE402686I1H9PPAV7P29,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 09:18:56 PDT 2020,3,BatchId:3955737;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 09:18:56 PDT 2020,,,3LBXNTKX0WZXZDNQ58CZ9TESQWG9XC,A3746TDKYH8SJ9,Submitted,Sat Mar 14 09:19:25 PDT 2020,Sat Mar 14 09:21:29 PDT 2020,Tue Mar 17 09:21:29 PDT 2020,,,,124,0% (0/0),0% (0/0),0% (0/0),FOLLOW Beautiful and gorgeous angel PLS LIKE amp RETWEET,Happy,,
3DGDV62G8SDE402686I1H9PPAV7P29,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 09:18:56 PDT 2020,3,BatchId:3955737;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 09:18:56 PDT 2020,,,3PB5A5BD00AIZ84711EB7BNRSGW7G6,A3PPZ0USXDFBJ7,Submitted,Sat Mar 14 09:20:26 PDT 2020,Sat Mar 14 09:20:41 PDT 2020,Tue Mar 17 09:20:41 PDT 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),FOLLOW Beautiful and gorgeous angel PLS LIKE amp RETWEET,Happy,,
3DGDV62G8SDE402686I1H9PPAV7P29,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 09:18:56 PDT 2020,3,BatchId:3955737;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 09:18:56 PDT 2020,,,3VHHR074H8LYL0I8CSBRK3SZOXI7LC,A1257SFH8W5MCV,Submitted,Sat Mar 14 09:20:41 PDT 2020,Sat Mar 14 09:20:50 PDT 2020,Tue Mar 17 09:20:50 PDT 2020,,,,9,0% (0/0),0% (0/0),0% (0/0),FOLLOW Beautiful and gorgeous angel PLS LIKE amp RETWEET,Pleasant,,
30OITAWPCU7XR3PHA2PBINVCUA89HH,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 09:18:56 PDT 2020,3,BatchId:3955737;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 09:18:56 PDT 2020,,,30BXRYBRP91BPJ0JTF45KRY907IHWH,A3746TDKYH8SJ9,Submitted,Sat Mar 14 09:19:27 PDT 2020,Sat Mar 14 09:21:54 PDT 2020,Tue Mar 17 09:21:54 PDT 2020,,,,147,0% (0/0),0% (0/0),0% (0/0),Watch here Follow for Hentai Like RT HentaiPRN doujins lovehentai Inc,Happy,,
