HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text,Answer.emotion.label,Approve,Reject
3P4ZBJFX3Z7OP3BJ8NB3TMRACWIFWH,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:54:17 PDT 2020,3,BatchId:3955865;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:54:17 PDT 2020,,,3E47SOBEYV027G5YI6MP89SL95PICF,A3RI9RLBGPG2B6,Submitted,Sat Mar 14 11:54:27 PDT 2020,Sat Mar 14 11:57:31 PDT 2020,Tue Mar 17 11:57:31 PDT 2020,,,,184,0% (0/0),0% (0/0),0% (0/0),Surprise Your Love One s Hurry Up as only Few seats are left for LUCKNOW to Delhi Agra Dehradun on 6March2020 Grab Your tickets at Celebrate Holi with your family FirstComeFirstServe UPSRTCJourney ComfyTravel HappyHoli2020 HappyRide,Surprise,,
3P4ZBJFX3Z7OP3BJ8NB3TMRACWIFWH,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:54:17 PDT 2020,3,BatchId:3955865;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:54:17 PDT 2020,,,3K4J6M3CXJX0IA2584QVH2PHUPCAGD,A219VCQZADQ45W,Submitted,Sat Mar 14 11:55:14 PDT 2020,Sat Mar 14 11:55:24 PDT 2020,Tue Mar 17 11:55:24 PDT 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),Surprise Your Love One s Hurry Up as only Few seats are left for LUCKNOW to Delhi Agra Dehradun on 6March2020 Grab Your tickets at Celebrate Holi with your family FirstComeFirstServe UPSRTCJourney ComfyTravel HappyHoli2020 HappyRide,Pleasant,,
3P4ZBJFX3Z7OP3BJ8NB3TMRACWIFWH,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:54:17 PDT 2020,3,BatchId:3955865;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:54:17 PDT 2020,,,3S3AMIZX3Z9LZ5PCQSLEHCC8H0HDC8,A3746TDKYH8SJ9,Submitted,Sat Mar 14 11:55:03 PDT 2020,Sat Mar 14 11:57:15 PDT 2020,Tue Mar 17 11:57:15 PDT 2020,,,,132,0% (0/0),0% (0/0),0% (0/0),Surprise Your Love One s Hurry Up as only Few seats are left for LUCKNOW to Delhi Agra Dehradun on 6March2020 Grab Your tickets at Celebrate Holi with your family FirstComeFirstServe UPSRTCJourney ComfyTravel HappyHoli2020 HappyRide,Surprise,,
3RWB1RTQENRPQF4VONR2R02SWV28PY,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:54:17 PDT 2020,3,BatchId:3955865;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:54:17 PDT 2020,,,3COPXFW7XGGC704QNET75P650STPKB,A3746TDKYH8SJ9,Submitted,Sat Mar 14 11:55:05 PDT 2020,Sat Mar 14 11:57:50 PDT 2020,Tue Mar 17 11:57:50 PDT 2020,,,,165,0% (0/0),0% (0/0),0% (0/0),Heavy rainfall of 1 2 inch in 30 minutes has fallen near us60 grand ave in surprise SuncityWest and is likely causing flooding issues Stay safe Remember don t cross any flooded crossings,Happy,,
3RWB1RTQENRPQF4VONR2R02SWV28PY,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:54:17 PDT 2020,3,BatchId:3955865;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:54:17 PDT 2020,,,3HYA4D452WN5Z7B6K5RYTZ67HML2F0,A3RI9RLBGPG2B6,Submitted,Sat Mar 14 11:55:24 PDT 2020,Sat Mar 14 11:58:55 PDT 2020,Tue Mar 17 11:58:55 PDT 2020,,,,211,0% (0/0),0% (0/0),0% (0/0),Heavy rainfall of 1 2 inch in 30 minutes has fallen near us60 grand ave in surprise SuncityWest and is likely causing flooding issues Stay safe Remember don t cross any flooded crossings,Fear,,
3RWB1RTQENRPQF4VONR2R02SWV28PY,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:54:17 PDT 2020,3,BatchId:3955865;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:54:17 PDT 2020,,,3LRLIPTPEVD5KWYOYVBAFUHA16TAKG,AWJ0LF6A0LXJN,Submitted,Sat Mar 14 11:55:19 PDT 2020,Sat Mar 14 12:05:37 PDT 2020,Tue Mar 17 12:05:37 PDT 2020,,,,618,0% (0/0),0% (0/0),0% (0/0),Heavy rainfall of 1 2 inch in 30 minutes has fallen near us60 grand ave in surprise SuncityWest and is likely causing flooding issues Stay safe Remember don t cross any flooded crossings,Surprise,,
3VMHWJRYIZK3E3G9IS7PV55HLYOFXA,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:54:17 PDT 2020,3,BatchId:3955865;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:54:17 PDT 2020,,,3FQ5JJ512QSC4FSD7ZGF101A0DSKNA,A219VCQZADQ45W,Submitted,Sat Mar 14 11:54:53 PDT 2020,Sat Mar 14 11:55:12 PDT 2020,Tue Mar 17 11:55:12 PDT 2020,,,,19,0% (0/0),0% (0/0),0% (0/0),BREAKING Turns out the same day Barr became AG he INSTALLED HIS DAUGHTER at Mnuchin s Treasury where she among other things HELPS HIDE Trump s taxreturns and now HELPS PUBLISH financial records of the Bidens SAD TheResistance CNN MSNBC Yahoo mondaythoughts FBRParty,Angry,,
3VMHWJRYIZK3E3G9IS7PV55HLYOFXA,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:54:17 PDT 2020,3,BatchId:3955865;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:54:17 PDT 2020,,,3LPW2N6LKY6MHMRJXDOVD6AMBJQU5R,AWJ0LF6A0LXJN,Submitted,Sat Mar 14 11:55:09 PDT 2020,Sat Mar 14 11:56:29 PDT 2020,Tue Mar 17 11:56:29 PDT 2020,,,,80,0% (0/0),0% (0/0),0% (0/0),BREAKING Turns out the same day Barr became AG he INSTALLED HIS DAUGHTER at Mnuchin s Treasury where she among other things HELPS HIDE Trump s taxreturns and now HELPS PUBLISH financial records of the Bidens SAD TheResistance CNN MSNBC Yahoo mondaythoughts FBRParty,Angry,,
3VMHWJRYIZK3E3G9IS7PV55HLYOFXA,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:54:17 PDT 2020,3,BatchId:3955865;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:54:17 PDT 2020,,,3XM0HYN6NP39L0CGRSI47UT0GVXPER,A1VMYCTZSIBP5J,Submitted,Sat Mar 14 11:54:48 PDT 2020,Sat Mar 14 11:55:22 PDT 2020,Tue Mar 17 11:55:22 PDT 2020,,,,34,0% (0/0),0% (0/0),0% (0/0),BREAKING Turns out the same day Barr became AG he INSTALLED HIS DAUGHTER at Mnuchin s Treasury where she among other things HELPS HIDE Trump s taxreturns and now HELPS PUBLISH financial records of the Bidens SAD TheResistance CNN MSNBC Yahoo mondaythoughts FBRParty,Angry,,
3FI30CQHWON0I7KXC3C3C21C9WX6BP,3ZZSZV2CUFRLLDZOTUC1YXHUHUBGSZ,What emotion does this text convey?,What emotion does this text convey?,"emotion detection, text",$0.01 ,Sat Mar 14 11:54:17 PDT 2020,3,BatchId:3955865;OriginalHitTemplateId:928390866;,3600,259200,Sat Mar 21 11:54:17 PDT 2020,,,37C0GNLMHK7WJOGBG18BVCKYLE6D6G,A3RI9RLBGPG2B6,Submitted,Sat Mar 14 11:54:42 PDT 2020,Sat Mar 14 11:57:46 PDT 2020,Tue Mar 17 11:57:46 PDT 2020,,,,184,0% (0/0),0% (0/0),0% (0/0),Am watching Wuhan virus presser as declares national emergency expedites approval of new diagnostic tests introduces an array of hovt industry execs waives payments on college loans amp wonder how long before 1st msm criticism on what front this time Sad,Fear,,
