"{""_id"":{""$oid"":""5e6d90d08cd9f4f03b49f752""}","original_text:""Get out with your family &amp; do something out of the ordinary! Gravity will be open from March 17 onwards so make sure you book your flight on https://t.co/Th0kkVZRkg. \n-\n#gravity #fly #indoorskydiving #sports #stayactive #groupflight #family #friends #adventure #adrenalin https://t.co/XzyQXSTd05""","label:""excitement""","process_text:""Get out with your family amp do something out of the ordinary Gravity will be open from March 17 onwards so make sure you book your flight on gravity fly indoorskydiving sports stayactive groupflight family friends adventure adrenalin""}",,,,,
"{""_id"":{""$oid"":""5e6d90d88cd9f4f03b49f75b""}","original_text:""#IWD Keynote @MetricStream on \""The Glass ceiling - A reality or perception\"". It starts with #ambition. Shared stories of my roles models. Read from @WordsMatter40 and @apurva_purohit's #LadyYouReTheBoss. Take required action", be accepting of your need to succeed," own up to it! https://t.co/tIUUFhnEHU""","label:""excitement""","process_text:""IWD Keynote on The Glass ceiling A reality or perception It starts with ambition Shared stories of my roles models Read from and purohit s LadyYouReTheBoss Take required action be accepting of your need to succeed own up to it""}",,,
"{""_id"":{""$oid"":""5e6d90d98cd9f4f03b49f75c""}","original_text:""DM 101: never underestimate your players\n🧙🏻‍♂️⚔️🐉\n#dungeonsanddragons #gamenight #dndcharacter   #character  #adventure  #meme #druid https://t.co/Shx4ALnrXZ""","label:""excitement""","process_text:""DM 101 never underestimate your players dungeonsanddragons gamenight dndcharacter character adventure meme druid""}",,,,,
"{""_id"":{""$oid"":""5e6d90db8cd9f4f03b49f75d""}","original_text:""A Kindle Bestseller\n\n❈THE BETRAYED�?\nhttps://t.co/4o8vfn6MC4 \n\nLeft for dead", \nlost and confused," \nhe drank too much.\n\nUntil at last he had to know. \nWhat happened that day along the Pecos River? \n\n99c ~ FREE on #KindleUnlimited \n#Western #Adventure https://t.co/bZdXJGawJ8""","label:""excitement""","process_text:""A Kindle Bestseller THE BETRAYED Left for dead lost and confused he drank too much Until at last he had to know What happened that day along the Pecos River 99c FREE on KindleUnlimited Western Adventure""}",,,
"{""_id"":{""$oid"":""5e6d90f58cd9f4f03b49f76a""}","original_text:""Lets start this thing! Come hang out and chat with me! https://t.co/wKEbAoJgsG Follow me to stay up to date! #twitch #streamer #supportsmallstreams #gamer #adventure #action #varietystreamer #playingwithviewers #RPG #Doom&amp;Destiny #RPGmaker""","label:""excitement""","process_text:""Lets start this thing Come hang out and chat with me Follow me to stay up to date twitch streamer supportsmallstreams gamer adventure action varietystreamer playingwithviewers RPG Doom amp Destiny RPGmaker""}",,,,,
"{""_id"":{""$oid"":""5e6d90f88cd9f4f03b49f76b""}","original_text:""Just as there were animals all over the earth"," so were humans. Read the real story of the flood and the people.\n\nhttps://t.co/pHekftlYU0\n\n#SupportIA #authors #wowbooks #IAN1 #Adventure #authors #readers #Goodreads #youngadult #bookbuzz \n@kindle_boost #IARTG https://t.co/PmdlNzTYGl""","label:""excitement""","process_text:""Just as there were animals all over the earth so were humans Read the real story of the flood and the people SupportIA authors wowbooks IAN1 Adventure authors readers Goodreads youngadult bookbuzz boost IARTG""}",,,,
"{""_id"":{""$oid"":""5e6d90fb8cd9f4f03b49f76c""}","original_text:""�?Travel is never a #matter of #money"," but of courage.�?�?Paulo Coelho\n#solotravel #TravelBan #travelphotography #travels #traveltips #travelmore #TravelNurse #traveltheworld #travelblog #adventure #nature #NaturalSelection https://t.co/BWmVf6r5al""","label:""excitement""","process_text:""Travel is never a matter of money but of courage Paulo Coelho solotravel TravelBan travelphotography travels traveltips travelmore TravelNurse traveltheworld travelblog adventure nature NaturalSelection""}",,,,
"{""_id"":{""$oid"":""5e6d91758cd9f4f03b49f785""}","original_text:""Hey my twittersphere! My family and I (and", thus, my business) are embarking on a new #adventure. We are #moving up to the Sacramento," California area soon. I've written more about the move here on my #blog. Please reach out with questions!\n\nhttps://t.co/VQdqQgGYs7""","label:""excitement""","process_text:""Hey my twittersphere My family and I and thus my business are embarking on a new adventure We are moving up to the Sacramento California area soon I ve written more about the move here on my blog Please reach out with questions""}",,
"{""_id"":{""$oid"":""5e6d9a608cd9f4f03b49f830""}","original_text:""The dreams of man were gone. Now there were only nightmares...\n\nhttps://t.co/GFbJi0WQ0z\n\nStage 3. FREE on Kindle Unlimited!\n#horror #amwriting #zombie #apocalypse #survival #thriller #series #thriller #adventure #Awardwinning  #IARTG @NewAppleAwards #Stage3 https://t.co/xwAIxAQSll""","label:""excitement""","process_text:""The dreams of man were gone Now there were only nightmares Stage 3 FREE on Kindle Unlimited horror amwriting zombie apocalypse survival thriller series thriller adventure Awardwinning IARTG Stage3""}",,,,,
"{""_id"":{""$oid"":""5e6d9ae18cd9f4f03b49f837""}","original_text:""NEW S4 Episode 4: TERRY'S MYSTERIOUS MOMENTS with Terry From Texas!\n\n*Terry speaks about Witch Trials!\n*SIMPLY AMAZING!\n\nhttps://t.co/sWILLxMdeI\n\n#history #paranormal #stories #lifestyle #Chicago #ghosts #podcasts #Travel #adventure #YA #FridayMotivation #FridayVibes #podcast https://t.co/WTgEmWer5H""","label:""excitement""","process_text:""NEW S4 Episode 4 TERRY S MYSTERIOUS MOMENTS with Terry From Texas Terry speaks about Witch Trials SIMPLY AMAZING history paranormal stories lifestyle Chicago ghosts podcasts Travel adventure YA FridayMotivation FridayVibes podcast""}",,,,,
"{""_id"":{""$oid"":""5e6d9b0a8cd9f4f03b49f839""}","original_text:""Delighted to have received the award for winner in the historical fiction category for 'Wyvern of Wessex' in the Book Awards for 2019 from @NNP_W_Light I'm totally delighted and can't thank Mrs N enough. \n\nhttps://t.co/V6jwsQNqga\n\n#histfic  #Vikings #anglosaxon #adventure https://t.co/eJyZoxMLY5""","label:""excitement""","process_text:""Delighted to have received the award for winner in the historical fiction category for Wyvern of Wessex in the Book Awards for 2019 from W Light I m totally delighted and can t thank Mrs N enough histfic Vikings anglosaxon adventure""}",,,,,
"{""_id"":{""$oid"":""5e6d9b1d8cd9f4f03b49f83a""}","original_text:""ICYMI yesterday \nWe are #proud to WELCOME a new #volunteer for an #Exciting NEW project  #Ataxia #raredisease #patient #charity #Wales \n\n#kNOwATAXIA https://t.co/x265v017IB""","label:""excitement""","process_text:""ICYMI yesterday We are proud to WELCOME a new volunteer for an Exciting NEW project Ataxia raredisease patient charity Wales kNOwATAXIA""}",,,,,
"{""_id"":{""$oid"":""5e6d9b328cd9f4f03b49f83b""}","original_text:""Simple"," #interesting video telling how viruses go #viral. Please #save yourself and  fellow human beings.\n#CoronaVirusUpdate\n#Covid_19 #coronavirus #coronarvirusitalia \n#COVID2019 \n#CoronaOutbreak https://t.co/ARSi5TaDDf""","label:""excitement""","process_text:""Simple interesting video telling how viruses go viral Please save yourself and fellow human beings CoronaVirusUpdate Covid 19 coronavirus coronarvirusitalia COVID2019 CoronaOutbreak""}",,,,
"{""_id"":{""$oid"":""5e6d9b448cd9f4f03b49f83c""}","original_text:""Looking for a weekend getaway to somewhere beautiful? ⛰️\nCheck out my blog post and video about the trip @Brittincharge and I did to #Enumclaw WA: https://t.co/eog2YBXTNU\n#Travel #Nature #Adventure #WashingtonState @visitmtrainier #blogging""","label:""excitement""","process_text:""Looking for a weekend getaway to somewhere beautiful Check out my blog post and video about the trip and I did to Enumclaw WA Travel Nature Adventure WashingtonState blogging""}",,,,,
"{""_id"":{""$oid"":""5e6d9b558cd9f4f03b49f83d""}","original_text:""‘The Tainted Dollar’\nLike a taste of ol�?time whiskey.\nHere’s a great review from a man who knows more’n a little about westerns"," &amp; the old west.\nhttps://t.co/GZFPlJXKZU\nWhy not ride along�?.?\n#western #Laredo #Texas #JakeBase #adventure https://t.co/45n6HC7uIh""","label:""excitement""","process_text:""The Tainted Dollar Like a taste of ol time whiskey Here is a great review from a man who knows more n a little about westerns amp the old west Why not ride along western Laredo Texas JakeBase adventure""}",,,,
"{""_id"":{""$oid"":""5e6d9b6c8cd9f4f03b49f83e""}","original_text:""Found out tonight that I've been cast as Maria in my theatre schools production of the Sound of Music. I know it's not that important considering everything that's going on #sohappy Best Friday 13th ever #excited #maria #soundofmusic 🌈 https://t.co/0AfardIw3x""","label:""excitement""","process_text:""Found out tonight that I ve been cast as Maria in my theatre schools production of the Sound of Music I know it s not that important considering everything that s going on sohappy Best Friday 13th ever excited maria soundofmusic""}",,,,,
"{""_id"":{""$oid"":""5e6d9b7b8cd9f4f03b49f83f""}","original_text:""Mataking jetty\n📸@robinphilippo\n\n🚩Follow @divingphoto", tag us to be featured," TURN ON post notifications and be the first to see new photos .\n.\n.\n.\n.\n.\n.\n#scuba #scubadiving #diving #scubapro #tauchen #padi #reef\n#travel #ocean #sea #underwater #adventure  #wreck #wreckdiving https://t.co/C6qozQkpZn""","label:""excitement""","process_text:""Mataking jetty Follow tag us to be featured TURN ON post notifications and be the first to see new photos scuba scubadiving diving scubapro tauchen padi reef travel ocean sea underwater adventure wreck wreckdiving""}",,,
"{""_id"":{""$oid"":""5e6d9b8c8cd9f4f03b49f840""}","original_text:""Sometimes authors can predict the future. It is time you read their works.\nhttps://t.co/KUEurDyWhv\n#SupportIA #authors #wowbooks #IAN1 #Adventure #authors #readers #Goodreads #youngadult #bookbuzz \n@kindle_boost #IARTG https://t.co/0xUYiOvMs6""","label:""excitement""","process_text:""Sometimes authors can predict the future It is time you read their works SupportIA authors wowbooks IAN1 Adventure authors readers Goodreads youngadult bookbuzz boost IARTG""}",,,,,
"{""_id"":{""$oid"":""5e6d9b9e8cd9f4f03b49f841""}","original_text:""#IAN1 #AMG #SFFBC\n*\nListen to a reading of Chapter 8 from \""Into Autumn\"" by a professional actor!\n*\nhttps://t.co/LEKad4DSp0\n*\nThe song \""City Gal\"" was inspired by \""Into Autumn\"""," book 1 of the epic Four Seasons Series.\n\nhttps://t.co/Gd8Z6AhShC\n#Texas #mustread #dystopian #adventure https://t.co/YZKaXCag0E""","label:""excitement""","process_text:""IAN1 AMG SFFBC Listen to a reading of Chapter 8 from Into Autumn by a professional actor The song City Gal was inspired by Into Autumn book 1 of the epic Four Seasons Series Texas mustread dystopian adventure""}",,,,
"{""_id"":{""$oid"":""5e6d9bb08cd9f4f03b49f842""}","original_text:""❈REVENGE�?An action packed #Western\nhttps://t.co/3eSruf73gU\n\nTom flattened Zeke in a fight \nso the drunk swore to kill him. \n\nBut Tom was marrying Lacey and \nnow they were both in deep trouble.\n\n#BookBoost #Adventure\n99c ~ FREE on KindleUnlimited""","label:""excitement""","process_text:""REVENGE An action packed Western Tom flattened Zeke in a fight so the drunk swore to kill him But Tom was marrying Lacey and now they were both in deep trouble BookBoost Adventure 99c FREE on KindleUnlimited""}",,,,,
"{""_id"":{""$oid"":""5e6d9bd78cd9f4f03b49f844""}","original_text:""Find the answer.  IS THIS WHAT DEATH IS LIKE? Why did success in battle lead to defeat in peace. #neardeathexperience \nhttps://t.co/nolUno51Wa  \n#aircombat   #fighterjet     #adventure  #fighterplane""","label:""excitement""","process_text:""Find the answer IS THIS WHAT DEATH IS LIKE Why did success in battle lead to defeat in peace neardeathexperience aircombat fighterjet adventure fighterplane""}",,,,,
"{""_id"":{""$oid"":""5e6d9be78cd9f4f03b49f845""}","original_text:""\""Take your child on a wild west adventure today! Live the old west with your \nchild or children! Family Fun!\"" https://t.co/AlvWjZs8b9 #PMInc #ABRSC\n#kidlit #picturebook #ChildrensBooks #retweet_groups #RodentRoadAdventures  \n#adventure #SCBWI #IARTG #bookboost #ASMSG #squirrels https://t.co/UsUZei6Qx5""","label:""excitement""","process_text:""Take your child on a wild west adventure today Live the old west with your child or children Family Fun PMInc ABRSC kidlit picturebook ChildrensBooks retweet groups RodentRoadAdventures adventure SCBWI IARTG bookboost ASMSG squirrels""}",,,,,
"{""_id"":{""$oid"":""5e6d9bfb8cd9f4f03b49f846""}","original_text:""FREE ebook \""There are some seriously twisted characters populating this series https://t.co/ibV7cKrqHj #Kindle #Kobo #Nook #Tolino #iPad #gay #fantasy #adventure""","label:""excitement""","process_text:""FREE ebook There are some seriously twisted characters populating this series Kindle Kobo Nook Tolino iPad gay fantasy adventure""}",,,,,
"{""_id"":{""$oid"":""5e6d9c148cd9f4f03b49f847""}","original_text:""#excited for the 25th April and a double for @A1MRecords family "," when both the mighty @themoodsmanc and new kids @stepfordwivesuk play at one of our favourite Uk indie live venues 😍😍😍😍🚌🚌🚌@OCoaches https://t.co/kUuZCouw4O""","label:""excitement""","process_text:""excited for the 25th April and a double for family when both the mighty and new kids play at one of our favourite Uk indie live venues""}",,,,
